id,name
ABILITY_NONE, Aucune
ABILITY_STENCH,Puanteur
ABILITY_DRIZZLE,Crachin
ABILITY_SPEED_BOOST,Turbo
ABILITY_BATTLE_ARMOR,Armurbaston
ABILITY_STURDY,Fermeté
ABILITY_DAMP,Moiteur
ABILITY_LIMBER,Échauffement
ABILITY_SAND_VEIL,Voile Sable
ABILITY_STATIC,Statik
ABILITY_VOLT_ABSORB,Absorb Volt
ABILITY_WATER_ABSORB,Absorb Eau
ABILITY_OBLIVIOUS,Benêt
ABILITY_CLOUD_NINE,Ciel Gris
ABILITY_COMPOUND_EYES,COMPOUNDEYES
ABILITY_INSOMNIA,Insomnia
ABILITY_COLOR_CHANGE,Déguisement
ABILITY_IMMUNITY,Vaccin
ABILITY_FLASH_FIRE,Torche
ABILITY_SHIELD_DUST,Écran Poudre
ABILITY_OWN_TEMPO,Tempo Perso
ABILITY_SUCTION_CUPS,Ventouse
ABILITY_INTIMIDATE,Intimidation
ABILITY_SHADOW_TAG,Marque Ombre
ABILITY_ROUGH_SKIN,Peau Dure
ABILITY_WONDER_GUARD,Garde Mystik
ABILITY_LEVITATE,Lévitation
ABILITY_EFFECT_SPORE,Pose Spore
ABILITY_SYNCHRONIZE,Synchro
ABILITY_CLEAR_BODY,Corps Sain
ABILITY_NATURAL_CURE,Médic Nature
ABILITY_LIGHTNING_ROD,LIGHTNINGROD
ABILITY_SERENE_GRACE,Sérénité
ABILITY_SWIFT_SWIM,Glissade
ABILITY_CHLOROPHYLL,Chlorophyle
ABILITY_ILLUMINATE,Lumiatirance
ABILITY_TRACE,Calque
ABILITY_HUGE_POWER,Coloforce
ABILITY_POISON_POINT,Point Poison
ABILITY_INNER_FOCUS,Attention
ABILITY_MAGMA_ARMOR,Armumagma
ABILITY_WATER_VEIL,Ignifu-Voile
ABILITY_MAGNET_PULL,Magnépiège
ABILITY_SOUNDPROOF,Anti-Bruit
ABILITY_RAIN_DISH,Cuvette
ABILITY_SAND_STREAM,Sable Volant
ABILITY_PRESSURE,Pression
ABILITY_THICK_FAT,Isograisse
ABILITY_EARLY_BIRD,Matinal
ABILITY_FLAME_BODY,Corps Ardent
ABILITY_RUN_AWAY,Fuite
ABILITY_KEEN_EYE,Regard Vif
ABILITY_HYPER_CUTTER,Hyper Cutter
ABILITY_PICKUP,Ramassage
ABILITY_TRUANT,Absentéisme
ABILITY_HUSTLE,Agitation
ABILITY_CUTE_CHARM,Joli Sourire
ABILITY_PLUS,Plus
ABILITY_MINUS,Minus
ABILITY_FORECAST,Météo
ABILITY_STICKY_HOLD,Glue
ABILITY_SHED_SKIN,Mue
ABILITY_GUTS,Cran
ABILITY_MARVEL_SCALE,Écaille Spéciale
ABILITY_LIQUID_OOZE,Suintement
ABILITY_OVERGROW,Engrais
ABILITY_BLAZE,Brasier
ABILITY_TORRENT,Torrent
ABILITY_SWARM,Essaim
ABILITY_ROCK_HEAD,Tête de Roc
ABILITY_DROUGHT,Sécheresse
ABILITY_ARENA_TRAP,Piège
ABILITY_VITAL_SPIRIT,Esprit Vital
ABILITY_WHITE_SMOKE,Écran Fumée
ABILITY_PURE_POWER,Force Pure
ABILITY_SHELL_ARMOR,Coque Armure
ABILITY_CACOPHONY,CACOPHONY
ABILITY_AIR_LOCK,Air Lock
ABILITY_TRANSISTOR,TRANSISTOR
ABILITY_DRAGONS_MAW,Dragon'S MAW
ABILITY_MULTITYPE,Multi-Type
ABILITY_PIXILATE,Peau Féérique
