id,name
ITEM_NONE,????????
ITEM_MASTER_BALL,MASTER BALL
ITEM_ULTRA_BALL,HYPER BALL
ITEM_GREAT_BALL,SUPER BALL
ITEM_POKE_BALL,POKé BALL
ITEM_SAFARI_BALL,SAFARI BALL
ITEM_NET_BALL,FILET BALL
ITEM_DIVE_BALL,SCUBA BALL
ITEM_NEST_BALL,FAIBLO BALL
ITEM_REPEAT_BALL,BIS BALL
ITEM_TIMER_BALL,CHRONO BALL
ITEM_LUXURY_BALL,LUXE BALL
ITEM_PREMIER_BALL,HONOR BALL
ITEM_LOVE_BALL,BALL AMOUR
ITEM_LURE_BALL,BALL APPAT
ITEM_FRIEND_BALL,BALL AMIE
ITEM_HEAVY_BALL,BALL MASSE
ITEM_MOON_BALL,BALL LUNE
ITEM_LEVEL_BALL,BALL NIVEAU
ITEM_FAST_BALL,BALL SPEED
ITEM_GS_BALL,BALL GCS
ITEM_POTION,POTION
ITEM_ANTIDOTE,ANTIDOTE
ITEM_BURN_HEAL,ANTI-BRULE
ITEM_ICE_HEAL,ANTIGEL
ITEM_AWAKENING,REVEIL
ITEM_PARALYZE_HEAL,ANTI-PARA
ITEM_FULL_RESTORE,GUERISON
ITEM_MAX_POTION,POTION MAX
ITEM_HYPER_POTION,HYPER POTION
ITEM_SUPER_POTION,SUPER POTION
ITEM_FULL_HEAL,TOTAL SOIN
ITEM_REVIVE,RAPPEL
ITEM_MAX_REVIVE,RAPPEL MAX
ITEM_FRESH_WATER,EAU FRAICHE
ITEM_SODA_POP,SODA COOL
ITEM_LEMONADE,LIMONADE
ITEM_MOOMOO_MILK,LAIT MEUMEU
ITEM_ENERGY_POWDER,POUDRENERGIE
ITEM_ENERGY_ROOT,RACINENERGIE
ITEM_HEAL_POWDER,POUDRE SOIN
ITEM_REVIVAL_HERB,HERBE RAPPEL
ITEM_ETHER,HUILE
ITEM_MAX_ETHER,HUILE MAX
ITEM_ELIXIR,ELIXIR
ITEM_MAX_ELIXIR,MAX ELIXIR
ITEM_LAVA_COOKIE,LAVA COOKIE
ITEM_BLUE_FLUTE,FLUTE BLEUE
ITEM_YELLOW_FLUTE,FLUTE JAUNE
ITEM_RED_FLUTE,FLUTE ROUGE
