id,name
MAPSEC_VIOLET_CITY,MAUVILLE
MAPSEC_AZALEA_TOWN,ECORCIA
MAPSEC_GOLDENROD_CITY,DOUBLONVILLE
MAPSEC_ECRUTEAK_CITY,ROSALIA
MAPSEC_OLIVINE_CITY,OLIVILLE
MAPSEC_CIANWOOD_CITY,IRISIA
MAPSEC_SAFARI_ZONE_GATE,PORTE SAFARI
MAPSEC_MAHOGANY_TOWN,ACAJOU
MAPSEC_BLACKTHORN_CITY,EBENELLE
MAPSEC_CHERRYGROVE_CITY,VILLE-GRIOTTE
MAPSEC_INDIGO_PLATEAU,PLATEAU INDIGO
MAPSEC_ROUTE_26,ROUTE 26
MAPSEC_ROUTE_27,ROUTE 27
MAPSEC_ROUTE_28,ROUTE 28
MAPSEC_ROUTE_29,ROUTE 29
MAPSEC_ROUTE_30,ROUTE 30
MAPSEC_ROUTE_31,ROUTE 31
MAPSEC_ROUTE_32,ROUTE 32
MAPSEC_ROUTE_33,ROUTE 33
MAPSEC_ROUTE_34,ROUTE 34
MAPSEC_ROUTE_35,ROUTE 35
MAPSEC_ROUTE_36,ROUTE 36
MAPSEC_ROUTE_37,ROUTE 37
MAPSEC_ROUTE_38,ROUTE 38
MAPSEC_ROUTE_39,ROUTE 39
MAPSEC_ROUTE_40,ROUTE 40
MAPSEC_ROUTE_41,ROUTE 41
MAPSEC_ROUTE_42,ROUTE 42
MAPSEC_ROUTE_43,ROUTE 43
MAPSEC_ROUTE_44,ROUTE 44
MAPSEC_ROUTE_45,ROUTE 45
MAPSEC_ROUTE_46,ROUTE 46
MAPSEC_ROUTE_47,ROUTE 47
MAPSEC_ROUTE_48,ROUTE 48
MAPSEC_SAFARI_ZONE,ZONE SAFARI
MAPSEC_VICTORY_ROAD,ROUTE VICTOIRE
MAPSEC_PALLET_TOWN,BOURG PALETTE
MAPSEC_VIRIDIAN_CITY,JADIELLE
MAPSEC_PEWTER_CITY,ARGENTA
MAPSEC_CERULEAN_CITY,AZURIA
MAPSEC_LAVENDER_TOWN,LAVANDE
MAPSEC_VERMILION_CITY,CARMIN SUR MER
MAPSEC_CELADON_CITY,CELADOPOLE
MAPSEC_FUCHSIA_CITY,PARMANIE
MAPSEC_SOUTHERN_ISLAND,ILE AU SUD
MAPSEC_FARAWAY_ISLAND,ILE LOINTAINE
MAPSEC_BIRTH_ISLAND,ILE NAISSANCE
MAPSEC_CINNABAR_ISLAND,CRAMOIS'ILE
MAPSEC_SAFFRON_CITY,SAFRANIA
MAPSEC_ROUTE_10_POKECENTER,ROUTE 10
MAPSEC_ROUTE_1,ROUTE 1
MAPSEC_ROUTE_2,ROUTE 2
MAPSEC_ROUTE_3,ROUTE 3
MAPSEC_ROUTE_4,ROUTE 4
MAPSEC_ROUTE_5,ROUTE 5
MAPSEC_ROUTE_6,ROUTE 6
MAPSEC_ROUTE_7,ROUTE 7
MAPSEC_ROUTE_8,ROUTE 8
MAPSEC_ROUTE_9,ROUTE 9
MAPSEC_ROUTE_10,ROUTE 10
MAPSEC_ROUTE_11,ROUTE 11
MAPSEC_ROUTE_12,ROUTE 12
MAPSEC_ROUTE_13,ROUTE 13
MAPSEC_ROUTE_14,ROUTE 14
MAPSEC_ROUTE_15,ROUTE 15
MAPSEC_ROUTE_16,ROUTE 16
MAPSEC_ROUTE_17,ROUTE 17
MAPSEC_ROUTE_18,ROUTE 18
MAPSEC_ROUTE_19,ROUTE 19
MAPSEC_ROUTE_20,ROUTE 20
MAPSEC_ROUTE_21,ROUTE 21
MAPSEC_ROUTE_22,ROUTE 22
MAPSEC_ROUTE_24,ROUTE 24
MAPSEC_ROUTE_25,ROUTE 25
MAPSEC_VIRIDIAN_FOREST,FORET DE JADIELLE
MAPSEC_MT_MOON,MONT SELENITE
MAPSEC_S_S_ANNE,NAVIRE ANNE
MAPSEC_UNDERGROUND_PATH_2,PASSAGE SOUTERRAIN
MAPSEC_DIGLETTS_CAVE,GROTTE TAUPIQUEUR
MAPSEC_ROCKET_HIDEOUT,PLANQUE ROCKET
MAPSEC_SILPH_CO,SILPH SARL
MAPSEC_ROCK_TUNNEL,TUNNEL ROCHEUX
MAPSEC_SEAFOAM_ISLANDS,ILES ECUME
MAPSEC_POKEMON_TOWER,TOUR POKEMON
MAPSEC_CERULEAN_CAVE,GROTTE AZUR
MAPSEC_POWER_PLANT,CENTRALE
MAPSEC_NEW_BARK_TOWN,BOURG GEON
MAPSEC_DARK_CAVE,ANTRE NOIRE
MAPSEC_UNION_CAVE,CAVES JUMELLES
MAPSEC_ILEX_FOREST,BOIS AUX CHENES
MAPSEC_NATIONAL_PARK,PARC NATUREL
MAPSEC_WHIRL_ISLANDS,LES TOURB'ILES
MAPSEC_CLIFF_CAVE,GROTTE DU CAP
MAPSEC_MT_MORTAR,MONT CREUSET
MAPSEC_LAKE_OF_RAGE,LAC COLERE
MAPSEC_ICE_PATH,ROUTE DE GLACE
MAPSEC_MT_SILVER,MONT ARGENT
MAPSEC_TOHJO_FALLS,CHUTES TOHJO
MAPSEC_SPROUT_TOWER,TOUR CHETIFLOR
MAPSEC_SLOWPOKE_WELL,PUIT RAMOLOSSE
MAPSEC_BURNED_TOWER,TOUR CENDREE
MAPSEC_TIN_TOWER,TOUR FERAILLE
MAPSEC_DRAGONS_DEN,ANTRE DU DRAGON
MAPSEC_RUINS_OF_ALPH,RUINE D'ALPHA
MAPSEC_SS_AQUA,NAVIRE AQUA
MAPSEC_EMBEDDED_TOWER,TOUR ENFOUIE
MAPSEC_OLIVINE_LIGHTHOUSE,PHARE
