id,description
MOVE_POUND,Ecrase l'ennemi avec les\npattes avant ou la queue.
MOVE_KARATE_CHOP,Une attaque tranchante à\ntaux de critiques élevé.
MOVE_DOUBLE_SLAP,Gifle rapidement l'ennemi\nde 2 à 5 fois.
MOVE_COMET_PUNCH,Frappe rapidement l'ennemi\nde 2 à 5 fois.
MOVE_MEGA_PUNCH,Un coup de poing d'une\npuissance incroyable.
MOVE_PAY_DAY,Lance des pièces. L'argent\nest récupéré plus tard.
MOVE_FIRE_PUNCH,Un poing de feu pouvant\nbrûler l'ennemi.
MOVE_ICE_PUNCH,Un poing de glace pouvant\ngeler l'ennemi.
MOVE_THUNDER_PUNCH,Un poing électrique\npouvant paralyser l'ennemi.
MOVE_SCRATCH,Lacère l'ennemi avec \ndes griffes acérées.
MOVE_VICE_GRIP,Empoigne l'ennemi avec\nde puissantes pinces.
MOVE_GUILLOTINE,Un puissant coup de pince\nqui peut mettre K.O.
MOVE_RAZOR_WIND,Une attaque en 2 tours qui\nfrappe au 2{SUPER_E} tour.
MOVE_SWORDS_DANCE,Une danse de combat pour\nbooster l'ATTAQUE.
MOVE_CUT,"Coupe l'ennemi avec des\nlames, des griffes, etc."
MOVE_GUST,Envoie une rafale de vent\nen battant des ailes.
MOVE_WING_ATTACK,Frappe l'ennemi en \ndéployant les ailes.
MOVE_WHIRLWIND,Envoie une rafale de vent\net met fin au combat.
MOVE_FLY,S'envole au premier tour\net frappe au second.
MOVE_BIND,Ligote l'ennemi et l'écrase\npendant 2 à 5 tours.
MOVE_SLAM,"Fouette l'ennemi avec une\nqueue, une liane, etc."
MOVE_VINE_WHIP,Fouette l'ennemi avec de\nfines lianes.
MOVE_STOMP,Ecrase avec un énorme pied.\nPeut apeurer l'ennemi.
MOVE_DOUBLE_KICK,Un double coup de pied qui\nfrappe l'ennemi deux fois.
MOVE_MEGA_KICK,Un coup de pied super\npuissant et intense.
MOVE_JUMP_KICK,Un coup de pied sauté. Peut\nblesser le lanceur si raté.
