id,name
MOVE_NONE,-
MOVE_POUND,Écras'Face
MOVE_KARATE_CHOP,Poing-Karaté
MOVE_DOUBLE_SLAP,DOUBLESLAP
MOVE_COMET_PUNCH,Poing Comète
MOVE_MEGA_PUNCH,Ultimapoing
MOVE_PAY_DAY,Jackpot
MOVE_FIRE_PUNCH,Poing de Feu
MOVE_ICE_PUNCH,Poing-Glace
MOVE_THUNDER_PUNCH,THUNDERPUNCH
MOVE_SCRATCH,Griffe
MOVE_VICE_GRIP,VICEGRIP
MOVE_GUILLOTINE,Guillotine
MOVE_RAZOR_WIND,Coupe-Vent
MOVE_SWORDS_DANCE,Danse-Lames
MOVE_CUT,Coupe
MOVE_GUST,Tornade
MOVE_WING_ATTACK,Cru-Aile
MOVE_WHIRLWIND,Cyclone
MOVE_FLY,Vol
MOVE_BIND,Étreinte
MOVE_SLAM,Souplesse
MOVE_VINE_WHIP,Fouet Lianes
MOVE_STOMP,Écrasement
MOVE_DOUBLE_KICK,Double Pied
MOVE_MEGA_KICK,Ultimawashi
MOVE_JUMP_KICK,Pied Sauté
MOVE_ROLLING_KICK,Mawashi Geri
MOVE_SAND_ATTACK,SAND-ATTACK
MOVE_HEADBUTT,Coup d'Boule
MOVE_HORN_ATTACK,Koud'Korne
MOVE_FURY_ATTACK,Furie
MOVE_HORN_DRILL,Empal'Korne
MOVE_TACKLE,Charge
MOVE_BODY_SLAM,Plaquage
MOVE_WRAP,Ligotage
MOVE_TAKE_DOWN,Bélier
MOVE_THRASH,Mania
MOVE_DOUBLE_EDGE,Damoclès
MOVE_TAIL_WHIP,Mimi-Queue
MOVE_POISON_STING,Dard-Venin
MOVE_TWINEEDLE,Double-Dard
MOVE_PIN_MISSILE,Dard-Nuée
MOVE_LEER,Groz'Yeux
MOVE_BITE,Morsure
MOVE_GROWL,Rugissement
MOVE_ROAR,Hurlement
MOVE_SING,Berceuse
MOVE_SUPERSONIC,Ultrason
MOVE_SONIC_BOOM,SONICBOOM
MOVE_DISABLE,Entrave
MOVE_ACID,Acide
MOVE_EMBER,Flammèche
MOVE_FLAMETHROWER,Lance-Flammes
MOVE_MIST,Brume
MOVE_WATER_GUN,Pistolet à O
MOVE_HYDRO_PUMP,Hydrocanon
MOVE_SURF,Surf
MOVE_ICE_BEAM,Laser Glace
MOVE_BLIZZARD,Blizzard
MOVE_PSYBEAM,Rafale Psy
MOVE_BUBBLE_BEAM,BUBBLEBEAM
MOVE_AURORA_BEAM,Onde Boréale
MOVE_HYPER_BEAM,Ultralaser
MOVE_PECK,Picpic
MOVE_DRILL_PECK,Bec Vrille
MOVE_SUBMISSION,Sacrifice
MOVE_LOW_KICK,Balayage
MOVE_COUNTER,Riposte
MOVE_SEISMIC_TOSS,Frappe Atlas
MOVE_STRENGTH,Force
MOVE_ABSORB,Vol-Vie
MOVE_MEGA_DRAIN,Méga-Sangsue
MOVE_LEECH_SEED,Vampigraine
MOVE_GROWTH,Croissance
MOVE_RAZOR_LEAF,Tranch'Herbe
MOVE_SOLAR_BEAM,SOLARBEAM
MOVE_POISON_POWDER,POISONPOWDER
MOVE_STUN_SPORE,Para-Spore
MOVE_SLEEP_POWDER,Poudre Dodo
MOVE_PETAL_DANCE,Danse-Fleur
MOVE_STRING_SHOT,Sécrétion
MOVE_DRAGON_RAGE,Draco-Rage
MOVE_FIRE_SPIN,Danse Flamme
MOVE_THUNDER_SHOCK,THUNDERSHOCK
MOVE_THUNDERBOLT,Tonnerre
MOVE_THUNDER_WAVE,Cage-Éclair
MOVE_THUNDER,Fatal-Foudre
MOVE_ROCK_THROW,Jet-Pierres
MOVE_EARTHQUAKE,Séisme
MOVE_FISSURE,Abîme
MOVE_DIG,Tunnel
MOVE_TOXIC,Toxik
MOVE_CONFUSION,Choc Mental
MOVE_PSYCHIC,Psy
MOVE_HYPNOSIS,Hypnose
MOVE_MEDITATE,Yoga
MOVE_AGILITY,Hâte
MOVE_QUICK_ATTACK,Vive-Attaque
MOVE_RAGE,Frénésie
MOVE_TELEPORT,Téléport
MOVE_NIGHT_SHADE,Ombre Nocturne
MOVE_MIMIC,Copie
MOVE_SCREECH,Grincement
MOVE_DOUBLE_TEAM,Reflet
MOVE_RECOVER,Soin
MOVE_HARDEN,Armure
MOVE_MINIMIZE,Lilliput
MOVE_SMOKESCREEN,Brouillard
MOVE_CONFUSE_RAY,Onde Folie
MOVE_WITHDRAW,Repli
MOVE_DEFENSE_CURL,Boul'Armure
MOVE_BARRIER,Bouclier
MOVE_LIGHT_SCREEN,Mur Lumière
MOVE_HAZE,Buée Noire
MOVE_REFLECT,Protection
MOVE_FOCUS_ENERGY,Puissance
MOVE_BIDE,Patience
MOVE_METRONOME,Métronome
MOVE_MIRROR_MOVE,Mimique
MOVE_SELF_DESTRUCT,SELFDESTRUCT
MOVE_EGG_BOMB,Bomb'Œuf
MOVE_LICK,Léchouille
MOVE_SMOG,Purédpois
MOVE_SLUDGE,Détritus
MOVE_BONE_CLUB,Massd'Os
MOVE_FIRE_BLAST,Déflagration
MOVE_WATERFALL,Cascade
MOVE_CLAMP,Claquoir
MOVE_SWIFT,Météores
MOVE_SKULL_BASH,Coud'Krâne
MOVE_SPIKE_CANNON,Picanon
MOVE_CONSTRICT,Constriction
MOVE_AMNESIA,Amnésie
MOVE_KINESIS,Télékinésie
MOVE_SOFT_BOILED,SOFTBOILED
MOVE_HI_JUMP_KICK,HI Pied Sauté
MOVE_GLARE,Regard Médusant
MOVE_DREAM_EATER,Dévorêve
MOVE_POISON_GAS,Gaz Toxik
MOVE_BARRAGE,Pilonnage
MOVE_LEECH_LIFE,Vampirisme
MOVE_LOVELY_KISS,Grobisou
MOVE_SKY_ATTACK,Piqué
MOVE_TRANSFORM,Morphing
MOVE_BUBBLE,Écume
MOVE_DIZZY_PUNCH,Uppercut
MOVE_SPORE,Spore
MOVE_FLASH,Flash
MOVE_PSYWAVE,Vague Psy
MOVE_SPLASH,Trempette
MOVE_ACID_ARMOR,Acidarmure
MOVE_CRABHAMMER,Pince-Masse
MOVE_EXPLOSION,Explosion
MOVE_FURY_SWIPES,Combo-Griffe
MOVE_BONEMERANG,Osmerang
MOVE_REST,Repos
MOVE_ROCK_SLIDE,Éboulement
MOVE_HYPER_FANG,Croc de Mort
MOVE_SHARPEN,Affûtage
MOVE_CONVERSION,Conversion
MOVE_TRI_ATTACK,Triplattaque
MOVE_SUPER_FANG,Croc Fatal
MOVE_SLASH,Tranche
MOVE_SUBSTITUTE,Clonage
MOVE_STRUGGLE,Lutte
MOVE_SKETCH,Gribouille
MOVE_TRIPLE_KICK,Triple Pied
MOVE_THIEF,Larcin
MOVE_SPIDER_WEB,Toile
MOVE_MIND_READER,Lire-Esprit
MOVE_NIGHTMARE,Cauchemar
MOVE_FLAME_WHEEL,Roue de Feu
MOVE_SNORE,Ronflement
MOVE_CURSE,Malédiction
MOVE_FLAIL,Fléau
MOVE_CONVERSION_2,Conversion 2
MOVE_AEROBLAST,Aéroblast
MOVE_COTTON_SPORE,Spore Coton
MOVE_REVERSAL,Contre
MOVE_SPITE,Dépit
MOVE_POWDER_SNOW,Poudreuse
MOVE_PROTECT,Abri
MOVE_MACH_PUNCH,Mach Punch
MOVE_SCARY_FACE,Grimace
MOVE_FAINT_ATTACK,FAINT ATTACK
MOVE_SWEET_KISS,Doux Baiser
MOVE_BELLY_DRUM,Cognobidon
MOVE_SLUDGE_BOMB,Bomb-Beurk
MOVE_MUD_SLAP,Coud'Boue
MOVE_OCTAZOOKA,Octazooka
MOVE_SPIKES,Picots
MOVE_ZAP_CANNON,Élecanon
MOVE_FORESIGHT,Clairvoyance
MOVE_DESTINY_BOND,Prélèvem. Destin
MOVE_PERISH_SONG,Requiem
MOVE_ICY_WIND,Vent Glace
MOVE_DETECT,Détection
MOVE_BONE_RUSH,Charge-Os
MOVE_LOCK_ON,Verrouillage
MOVE_OUTRAGE,Colère
MOVE_SANDSTORM,Tempête de Sable
MOVE_GIGA_DRAIN,Giga-Sangsue
MOVE_ENDURE,Ténacité
