id,name
SPECIES_NONE,??????????
SPECIES_BULBASAUR,Bulbizarre
SPECIES_IVYSAUR,Herbizarre
SPECIES_VENUSAUR,Florizarre
SPECIES_CHARMANDER,Salamèche
SPECIES_CHARMELEON,Reptincel
SPECIES_CHARIZARD,Dracaufeu
SPECIES_SQUIRTLE,Carapuce
SPECIES_WARTORTLE,Carabaffe
SPECIES_BLASTOISE,Tortank
SPECIES_CATERPIE,Chenipan
SPECIES_METAPOD,Chrysacier
SPECIES_BUTTERFREE,Papilusion
SPECIES_WEEDLE,Aspicot
SPECIES_KAKUNA,Coconfort
SPECIES_BEEDRILL,Dardargnan
SPECIES_PIDGEY,Roucool
SPECIES_PIDGEOTTO,Roucoups
SPECIES_PIDGEOT,Roucarnage
SPECIES_RATTATA,Rattata
SPECIES_RATICATE,Rattatac
SPECIES_SPEAROW,Piafabec
SPECIES_FEAROW,Rapasdepic
SPECIES_EKANS,Abo
SPECIES_ARBOK,Arbok
SPECIES_PIKACHU,Pikachu
SPECIES_RAICHU,Raichu
SPECIES_SANDSHREW,Sabelette
SPECIES_SANDSLASH,Sablaireau
SPECIES_NIDORAN_F,Nidoran♀
SPECIES_NIDORINA,Nidorina
SPECIES_NIDOQUEEN,Nidoqueen
SPECIES_NIDORAN_M,Nidoran♂
SPECIES_NIDORINO,Nidorino
SPECIES_NIDOKING,Nidoking
SPECIES_CLEFAIRY,Mélofée
SPECIES_CLEFABLE,Mélodelfe
SPECIES_VULPIX,Goupix
SPECIES_NINETALES,Feunard
SPECIES_JIGGLYPUFF,Rondoudou
SPECIES_WIGGLYTUFF,Grodoudou
SPECIES_ZUBAT,Nosferapti
SPECIES_GOLBAT,Nosferalto
SPECIES_ODDISH,Mystherbe
SPECIES_GLOOM,Ortide
SPECIES_VILEPLUME,Rafflesia
SPECIES_PARAS,Paras
SPECIES_PARASECT,Parasect
SPECIES_VENONAT,Mimitoss
SPECIES_VENOMOTH,Aéromite
SPECIES_DIGLETT,Taupiqueur
SPECIES_DUGTRIO,Triopikeur
SPECIES_MEOWTH,Miaouss
SPECIES_PERSIAN,Persian
SPECIES_PSYDUCK,Psykokwak
SPECIES_GOLDUCK,Akwakwak
SPECIES_MANKEY,Férosinge
SPECIES_PRIMEAPE,Colossinge
SPECIES_GROWLITHE,Caninos
SPECIES_ARCANINE,Arcanin
SPECIES_POLIWAG,Ptitard
SPECIES_POLIWHIRL,Têtarte
SPECIES_POLIWRATH,Tartard
SPECIES_ABRA,Abra
SPECIES_KADABRA,Kadabra
SPECIES_ALAKAZAM,Alakazam
SPECIES_MACHOP,Machoc
SPECIES_MACHOKE,Machopeur
SPECIES_MACHAMP,Mackogneur
SPECIES_BELLSPROUT,Chétiflor
SPECIES_WEEPINBELL,Boustiflor
SPECIES_VICTREEBEL,Empiflor
SPECIES_TENTACOOL,Tentacool
SPECIES_TENTACRUEL,Tentacruel
SPECIES_GEODUDE,Racaillou
SPECIES_GRAVELER,Gravalanch
SPECIES_GOLEM,Grolem
SPECIES_PONYTA,Ponyta
SPECIES_RAPIDASH,Galopa
SPECIES_SLOWPOKE,Ramoloss
SPECIES_SLOWBRO,Flagadoss
SPECIES_MAGNEMITE,Magnéti
SPECIES_MAGNETON,Magnéton
SPECIES_FARFETCHD,Canarticho
SPECIES_DODUO,Doduo
SPECIES_DODRIO,Dodrio
SPECIES_SEEL,Otaria
SPECIES_DEWGONG,Lamantine
SPECIES_GRIMER,Tadmorv
SPECIES_MUK,Grotadmorv
SPECIES_SHELLDER,Kokiyas
SPECIES_CLOYSTER,Crustabri
SPECIES_GASTLY,Fantominus
SPECIES_HAUNTER,Spectrum
SPECIES_GENGAR,Ectoplasma
SPECIES_ONIX,Onix
SPECIES_DROWZEE,Soporifik
SPECIES_HYPNO,Hypnomade
SPECIES_KRABBY,Krabby
SPECIES_KINGLER,Krabboss
SPECIES_VOLTORB,Voltorbe
SPECIES_ELECTRODE,Électrode
SPECIES_EXEGGCUTE,Noeunoeuf
SPECIES_EXEGGUTOR,Noadkoko
SPECIES_CUBONE,Osselait
SPECIES_MAROWAK,Ossatueur
SPECIES_HITMONLEE,Kicklee
SPECIES_HITMONCHAN,Tygnon
SPECIES_LICKITUNG,Excelangue
SPECIES_KOFFING,Smogo
SPECIES_WEEZING,Smogogo
SPECIES_RHYHORN,Rhinocorne
SPECIES_RHYDON,Rhinoféros
SPECIES_CHANSEY,Leveinard
SPECIES_TANGELA,Saquedeneu
SPECIES_KANGASKHAN,Kangourex
SPECIES_HORSEA,Hypotrempe
SPECIES_SEADRA,Hypocéan
SPECIES_GOLDEEN,Poissirène
SPECIES_SEAKING,Poissoroy
SPECIES_STARYU,Stari
SPECIES_STARMIE,Staross
SPECIES_MR_MIME,M. Mime
SPECIES_SCYTHER,Insécateur
SPECIES_JYNX,Lippoutou
SPECIES_ELECTABUZZ,Élektek
SPECIES_MAGMAR,Magmar
SPECIES_PINSIR,Scarabrute
SPECIES_TAUROS,Tauros
SPECIES_MAGIKARP,Magicarpe
SPECIES_GYARADOS,Léviator
SPECIES_LAPRAS,Lokhlass
SPECIES_DITTO,Métamorph
SPECIES_EEVEE,Évoli
SPECIES_VAPOREON,Aquali
SPECIES_JOLTEON,Voltali
SPECIES_FLAREON,Pyroli
SPECIES_PORYGON,Porygon
SPECIES_OMANYTE,Amonita
SPECIES_OMASTAR,Amonistar
SPECIES_KABUTO,Kabuto
SPECIES_KABUTOPS,Kabutops
SPECIES_AERODACTYL,Ptéra
